State Code,State Name,County Code,County Name,Year,"Total Population total population of area, in thousands","Public Supply population served by groundwater, in thousands","Public Supply population served by surface water, in thousands","Public Supply total population served, in thousands","Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d","Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, groundwater, in Mgal/d","Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d","Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, surface water, in Mgal/d","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Public Supply total self-supplied withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, total, in Mgal/d","Public Supply deliveries to domestic, in Mgal/d","Public Supply deliveries to commercial, in Mgal/d","Public Supply deliveries to industrial, in Mgal/d","Public Supply deliveries to thermoelectric, in Mgal/d","Public Supply total deliveries, in Mgal/d","Public Supply public use and losses, in Mgal/d","Public Supply per capita use, in gallons/person/day","Public Supply reclaimed wastewater, in Mgal/d",Public Supply number of facilities,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied groundwater withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, groundwater, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, surface water, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Domestic total self-supplied withdrawals, saline, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic total self-supplied withdrawals, in Mgal/d","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic consumptive use, fresh, in Mgal/d","Domestic consumptive use, saline, in Mgal/d","Domestic total consumptive use, in Mgal/d","Domestic per capita use, self-supplied, in gallons/person/day","Domestic reclaimed wastewater, in Mgal/d","Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d","Commercial self-supplied groundwater withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, groundwater, in Mgal/d","Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d","Commercial self-supplied surface-water withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, surface water, in Mgal/d","Commercial total self-supplied withdrawals, fresh, in Mgal/d","Commercial total self-supplied withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, in Mgal/d","Commercial deliveries from public supply, in Mgal/d","Commercial total self-supplied withdrawals plus deliveries, in Mgal/d","Commercial consumptive use, fresh, in Mgal/d","Commercial consumptive use, saline, in Mgal/d","Commercial total consumptive use, in Mgal/d","Commercial reclaimed wastewater, in Mgal/d","Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities,"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d","Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d","Livestock total self-supplied withdrawals, fresh, in Mgal/d","Livestock consumptive use, fresh, in Mgal/d","Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop consumptive use for crops, fresh, in Mgal/d","Irrigation, Crop conveyance loss for crops, in Mgal/d","Irrigation, Crop sprinkler irrigation for crops, in thousand acres","Irrigation, Crop microirrigation for crops, in thousand acres","Irrigation, Crop surface irrigation for crops, in thousand acres","Irrigation, Crop total irrigation for crops, in thousand acres","Irrigation, Crop reclaimed wastewater for crops, in Mgal/d"
6,California,21,Glenn County,2010,28.122,17.82,0.45,18.27,4.34,0,4.34,0.08,0,0.08,4.42,0,4.42,2.65,-,-,-,-,-,242,-,-,0.66,-,-,0.07,-,-,0.73,9.852,2.65,-,145,-,3.38,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0,0.27,0,0,0,0.27,0,0.27,-,-,-,-,-,0,-,0.92,1.17,2.09,-,224.62,374.19,598.81,-,-,26.42,85.82,112.91,225.15,-
6,California,21,Glenn County,2015,28.017,-,-,18.576,2.49,0,2.49,0.06,0,0.06,2.55,0,2.55,1.76,-,-,0,-,-,137,-,-,0.83,-,-,0.09,-,-,0.92,9.441,1.76,-,95,-,2.68,-,-,-,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0,0.27,0,0,0,0.27,0,0.27,-,-,-,-,-,0,5,0.87,1.11,1.98,-,628.87,31.75,660.62,522.47,-,56.29,108.27,69.68,234.24,0
6,California,23,Humboldt County,1985,112.9,25.27,58.65,83.92,3.16,-,-,7.44,-,-,10.6,-,-,6.47,2.44,100.25,0,109.16,-,-,-,-,0.68,-,-,0.51,-,-,1.19,28.98,6.47,-,77,-,7.66,1.99,-,-,41,-,0.26,-,-,0.19,-,-,0.45,-,-,2.44,-,0.88,-,-,-,0.69,0,0.69,4.59,1.07,5.66,5.28,1.07,6.35,100.25,106.6,10.06,1.49,11.55,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,23,Humboldt County,1990,119.12,34.21,66.52,100.73,9.36,-,-,9.98,-,-,19.34,-,-,11.45,2.54,60.8,0,74.79,-,-,-,82,0.47,-,-,0.91,-,-,1.38,18.39,11.45,-,114,-,12.83,3.33,-,-,75,-,0,-,-,12.89,-,-,12.89,-,-,2.54,-,0.01,-,-,-,0,0,0,1.5,0,1.5,1.5,0,1.5,60.8,62.3,3.02,0,3.02,0,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,23,Humboldt County,1995,124.5,31.9,72.34,104.24,26.56,0,26.56,10.74,0,10.74,37.3,0,37.3,11.93,3.15,16.94,0,32.02,5.28,358,0,41,1.37,0,1.37,0.15,0,0.15,1.52,20.26,11.93,0,114,1.52,13.45,3.5,0,3.5,75,-,0,0,0,4.09,0,4.09,4.09,0,4.09,3.15,7.24,0.82,0,0.82,0,31.48,0,31.48,0.97,0,0.97,32.45,0,32.45,16.94,49.39,14.32,0,14.32,0,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,23,Humboldt County,2000,126.52,104.75,5.42,110.17,15.3,-,-,18.56,-,-,33.86,-,-,-,-,-,-,-,-,-,-,-,1.1,-,-,0.12,-,-,1.22,16.35,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.23,0,1.23,0,0,0,1.23,0,1.23,-,-,-,-,-,-,-,1.66,2.11,3.77,-,39.2,30.9,70.1,-,-,30.4,0,2.9,33.3,-
6,California,23,Humboldt County,2005,128.376,7.048,63.434,70.482,1.3,0,1.3,11.72,0,11.72,13.02,0,13.02,11.72,-,-,-,-,-,185,-,-,1.46,-,-,1.46,-,-,2.92,57.894,11.72,-,166,-,14.64,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.73,0,9.73,0,0,0,9.73,0,9.73,-,-,-,-,-,-,-,0.91,1.16,2.07,-,-,-,-,-,-,-,-,-,-,-
6,California,23,Humboldt County,2010,134.623,21.424,102.877,124.301,3.54,0,3.54,12.68,0,12.68,16.22,0,16.22,9.18,-,-,-,-,-,130,-,-,0.44,-,-,0.24,-,-,0.68,10.322,9.18,-,74,-,9.86,-,-,-,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.48,0,0.48,0,0,0,0.48,0,0.48,-,-,-,-,-,0.02,-,0.74,0.95,1.69,-,35.82,1.67,37.49,-,-,24.26,0,2.28,26.54,0.49
6,California,23,Humboldt County,2015,135.727,-,-,126.107,10.18,0,10.18,1.31,0,1.31,11.49,0,11.49,7.25,-,-,0.38,-,-,91,-,-,0.37,-,-,0.2,-,-,0.57,9.62,7.25,-,57,-,7.82,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.48,0,0.48,0,0,0,0.48,0,0.48,-,-,-,-,-,0.02,2,0.75,0.96,1.71,-,41.98,17.6,59.58,45.36,-,40.42,1.02,3.81,45.25,0
6,California,25,Imperial County,1985,105.72,3.65,63.4,67.05,0.96,-,-,16.25,-,-,17.21,-,-,10.5,3.96,0.36,0,14.82,-,-,-,-,0.36,-,-,1.2,-,-,1.56,38.67,10.5,-,157,-,12.06,3.14,-,-,40,-,0.14,-,-,0.45,-,-,0.59,-,-,3.96,-,1.34,-,-,-,1.55,0,1.55,0,0,0,1.55,0,1.55,0.36,1.91,0.69,0,0.69,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,25,Imperial County,1990,109.3,1.27,75.42,76.69,0.16,-,-,21.51,-,-,21.67,-,-,12.75,3.19,0.17,0,16.11,-,-,-,33,0.05,-,-,2.4,-,-,2.45,32.61,12.75,-,166,-,15.2,3.95,-,-,75,-,0,-,-,0,-,-,0,-,-,3.19,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.17,0.17,0.16,0,0.16,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,25,Imperial County,1995,137.4,121.97,0,121.97,0.16,0,0.16,22.72,0,22.72,22.88,0,22.88,13.7,4.69,0,0,18.39,4.49,188,0,12,1.04,0,1.04,0.12,0,0.12,1.16,15.43,13.7,0,112,1.16,14.86,4.39,0,4.39,75,-,0,0,0,0,0,0,0,0,0,4.69,4.69,1.22,0,1.22,0,0.43,0,0.43,0.02,0,0.02,0.45,0,0.45,0,0.45,0.13,0,0.13,0,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,25,Imperial County,2000,142.36,0.89,136.07,136.96,0.12,-,-,31.03,-,-,31.15,-,-,-,-,-,-,-,-,-,-,-,0.36,-,-,0.04,-,-,0.4,5.4,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,5.04,2.22,7.26,-,95.4,2739,2834.4,-,-,0,18.9,609.7,628.6,-
6,California,25,Imperial County,2005,155.823,28.901,96.338,125.239,7,0,7,23.33,0,23.33,30.33,0,30.33,24.14,-,-,-,-,-,242,-,-,0.05,-,-,0.08,-,-,0.13,30.584,24.14,-,193,-,24.27,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1.17,0,1.17,1.17,0,1.17,-,-,-,-,-,-,-,4.41,1.94,6.35,-,-,-,-,-,-,-,-,-,-,-
6,California,25,Imperial County,2010,174.528,5.27,151.08,156.35,1.95,0,1.95,30.27,0,30.27,32.22,0,32.22,18.03,-,-,-,-,-,206,-,-,0.28,-,-,0.3,-,-,0.58,18.178,18.03,-,115,-,18.61,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,0,1.2,0,0,0,1.2,0,1.2,-,-,-,-,-,0,-,4.99,2.2,7.19,-,10.88,1076.64,1087.52,-,-,0,16.74,541.14,557.88,-
6,California,25,Imperial County,2015,180.191,-,-,167.596,1.54,0,1.54,22.93,0,22.93,24.47,0,24.47,19.95,-,-,3.28,-,-,146,-,-,0.82,-,-,0.87,-,-,1.69,12.595,19.95,-,119,-,21.64,-,-,-,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,0,1.2,0,0,0,1.2,0,1.2,-,-,-,-,-,0,4,4.07,1.79,5.86,-,1303.46,546.42,1849.88,1349.58,-,13.47,28.27,466.44,508.18,0
6,California,27,Inyo County,1985,18.27,12.66,0.94,13.6,6.1,-,-,0.32,-,-,6.42,-,-,3.92,1.48,0,0,5.4,-,-,-,-,0.27,-,-,0.08,-,-,0.35,4.67,3.92,-,288,-,4.27,1.11,-,-,75,-,0.1,-,-,0.03,-,-,0.13,-,-,1.48,-,0.44,-,-,-,0.26,0,0.26,0,0,0,0.26,0,0.26,0,0.26,0.06,0,0.06,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,27,Inyo County,1990,18.28,5.92,1.05,6.97,2.41,-,-,0.79,-,-,3.2,-,-,1.7,0.75,0,0,2.45,-,-,-,50,0.72,-,-,0.13,-,-,0.85,11.31,1.7,-,244,-,2.55,0.66,-,-,75,-,29.8,-,-,3.88,-,-,33.68,-,-,0.75,-,0.03,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,27,Inyo County,1995,18.45,12.38,0.79,13.17,2.44,0,2.44,0.17,0,0.17,2.61,0,2.61,1.76,0.8,0,0,2.56,0.05,198,0,6,0.36,0,0.36,0.04,0,0.04,0.4,5.28,1.76,0,134,0.4,2.16,0.68,0,0.68,76,-,34.6,0,34.6,2.42,0,2.42,37.02,0,37.02,0.8,37.82,0.21,0,0.21,0.09,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,27,Inyo County,2000,17.95,6.91,0,6.91,3.04,-,-,0,-,-,3.04,-,-,-,-,-,-,-,-,-,-,-,0.75,-,-,0.08,-,-,0.83,11.04,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.97,1.24,2.21,-,46.2,21,67.2,-,-,0,0,14.8,14.8,-
6,California,27,Inyo County,2005,18.156,1.564,13.294,14.858,0.33,0,0.33,2.82,0,2.82,3.15,0,3.15,5.77,-,-,-,-,-,212,-,-,1.34,-,-,1.49,-,-,2.83,3.298,5.77,-,388,-,8.6,-,-,-,858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0,0.01,0,0,0,0.01,0,0.01,-,-,-,-,-,-,-,0.12,0.16,0.28,-,-,-,-,-,-,-,-,-,-,-
6,California,27,Inyo County,2010,18.546,16.87,0.06,16.93,5.7,0,5.7,0.01,0,0.01,5.71,0,5.71,2.19,-,-,-,-,-,337,-,-,0.09,-,-,0.03,-,-,0.12,1.616,2.19,-,129,-,2.31,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0,0.09,0,0,0,0.09,0,0.09,-,-,-,-,-,0,-,0.1,0.13,0.23,-,54.57,26.88,81.45,-,-,0,0,22.16,22.16,-
6,California,27,Inyo County,2015,18.26,-,-,17.801,2.42,0,2.42,0,0,0,2.42,0,2.42,1.56,-,-,0,-,-,136,-,-,0.03,-,-,0.01,-,-,0.04,0.459,1.56,-,88,-,1.6,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0,0.09,0,0,0,0.09,0,0.09,-,-,-,-,-,0,2,0.1,0.13,0.23,-,12.1,5.07,17.17,12.39,-,0,0,17.49,17.49,0.39
6,California,29,Kern County,1985,480.68,458.16,0.89,459.05,149.75,-,-,0.28,-,-,150.03,-,-,91.52,34.51,2.52,0,128.55,-,-,-,-,0.84,-,-,0.07,-,-,0.91,21.63,91.52,-,199,-,92.43,24.03,-,-,42,-,0.32,-,-,0.03,-,-,0.35,-,-,34.51,-,8.61,-,-,-,20.15,0.16,20.31,0.2,0,0.2,20.35,0.16,20.51,2.52,23.03,10.96,0.21,11.17,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,29,Kern County,1990,543.48,411.89,11.55,423.44,132.97,-,-,5.61,-,-,138.58,-,-,60.15,21.63,3.8,0,85.58,-,-,-,163,8.73,-,-,0.27,-,-,9,120.04,60.15,-,142,-,69.15,17.98,-,-,75,-,0,-,-,1.94,-,-,1.94,-,-,21.63,-,0,-,-,-,1.56,0,1.56,0,0,0,1.56,0,1.56,3.8,5.36,1.32,0,1.32,0,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,29,Kern County,1995,616.7,500.9,74.85,575.75,125.37,0,125.37,20.43,0,20.43,145.8,0,145.8,102.14,24.15,1.7,0,127.99,17.81,253,0,36,2.76,0,2.76,0.31,0,0.31,3.07,40.95,102.14,0,177,3.07,105.21,30.04,0,30.04,75,-,0,0,0,14.8,0,14.8,14.8,0,14.8,24.15,38.95,6.29,0,6.29,0.69,2.6,0.01,2.61,0.08,0,0.08,2.68,0.01,2.69,1.7,4.39,1.27,0,1.27,0,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,29,Kern County,2000,661.65,494.86,90.74,585.6,151.73,-,-,29.5,-,-,181.23,-,-,-,-,-,-,-,-,-,-,-,5.13,-,-,0.57,-,-,5.7,76.05,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.28,0,7.28,0,0.02,0.02,7.28,0.02,7.3,-,-,-,-,-,-,-,5.77,7.34,13.11,-,1375,1205.4,2580.4,-,-,69.5,429.1,428.2,926.8,-
6,California,29,Kern County,2005,756.825,151.277,550.853,702.13,67.07,0,67.07,244.21,0,244.21,311.28,0,311.28,111.19,-,-,-,-,-,443,-,-,17.78,-,-,1.98,-,-,19.76,54.695,111.19,-,158,-,130.95,-,-,-,361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0,0.24,1.24,0,1.24,1.48,0,1.48,-,-,-,-,-,-,-,4.06,5.16,9.22,-,-,-,-,-,-,-,-,-,-,-
6,California,29,Kern County,2010,839.631,712.4,73.16,785.56,167.81,0,167.81,58.19,0,58.19,226,0,226,134.02,-,-,-,-,-,288,-,-,2.09,-,-,0.19,-,-,2.28,54.071,134.02,-,171,-,136.3,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.46,0,2.46,0,0,0,2.46,0,2.46,-,-,-,-,-,0,-,5.22,6.64,11.86,-,773.1,1024.81,1797.91,-,-,55.09,340.08,339.36,734.53,35.89
6,California,29,Kern County,2015,882.176,-,-,859.482,112.71,0,112.71,56.16,0,56.16,168.87,0,168.87,106.07,-,-,9.75,-,-,196,-,-,2.11,-,-,0.19,-,-,2.3,22.694,106.07,-,123,-,108.37,-,-,-,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.46,0,2.46,0,0,0,2.46,0,2.46,-,-,-,-,-,0,20,5.36,6.81,12.17,-,1483.97,130.96,1614.93,1271.74,-,148.31,371.84,293.27,813.42,45.28
6,California,31,Kings County,1985,84.56,55.31,13.65,68.96,15.33,-,-,4.2,-,-,19.53,-,-,11.91,4.49,2.64,0,19.04,-,-,-,-,1.15,-,-,0.02,-,-,1.17,15.6,11.91,-,173,-,13.08,3.4,-,-,75,-,0.43,-,-,0.01,-,-,0.44,-,-,4.49,-,1.38,-,-,-,3.8,0,3.8,0,0,0,3.8,0,3.8,2.64,6.44,2.35,0,2.35,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,31,Kings County,1990,101.47,73.73,0,73.73,20.7,-,-,2.81,-,-,23.51,-,-,12.42,5.5,0.16,0,18.08,-,-,-,27,1.91,-,-,0.17,-,-,2.08,27.74,12.42,-,168,-,14.5,3.77,-,-,75,-,0,-,-,0,-,-,0,-,-,5.5,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.16,0.16,0.01,0,0.01,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,31,Kings County,1995,114.9,74.88,12.37,87.25,21.07,0,21.07,4.51,0,4.51,25.58,0,25.58,19.01,5.84,0.27,0,25.12,0.46,293,2.45,9,1.87,0,1.87,0.21,0,0.21,2.08,27.65,19.01,0,218,2.08,21.09,5.48,0,5.48,75,-,0,0,0,0,0,0,0,0,0,5.84,5.84,1.52,0,1.52,0,0.14,0,0.14,0,0,0,0.14,0,0.14,0.27,0.41,0.12,0,0.12,0,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,31,Kings County,2000,129.46,85.59,22.88,108.47,17.8,-,-,4.51,-,-,22.31,-,-,-,-,-,-,-,-,-,-,-,1.42,-,-,0.16,-,-,1.58,20.99,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.38,0,1.38,0.37,0,0.37,1.75,0,1.75,-,-,-,-,-,-,-,10.56,13.45,24.01,-,790.5,695.3,1485.8,-,-,0,78.7,456.6,535.3,-
6,California,31,Kings County,2005,143.42,10.13,102.425,112.555,4.98,0,4.98,50.35,0,50.35,55.33,0,55.33,18.11,-,-,-,-,-,492,-,-,5.4,-,-,0.6,-,-,6,30.865,18.11,-,161,-,24.11,-,-,-,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0,0.03,0,0,0,0.03,0,0.03,-,-,-,-,-,-,-,5.87,7.48,13.35,-,-,-,-,-,-,-,-,-,-,-
6,California,31,Kings County,2010,152.982,113.96,23.77,137.73,24.6,0,24.6,4.32,0,4.32,28.92,0,28.92,19.25,-,-,-,-,-,210,-,-,1.05,-,-,0.09,-,-,1.14,15.252,19.25,-,140,-,20.39,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.08,0,3.08,0,0,0,3.08,0,3.08,-,-,-,-,-,0,-,6.1,7.77,13.87,-,506.74,744.46,1251.2,-,-,0,52.79,505.91,558.7,4.86
6,California,31,Kings County,2015,150.965,-,-,143.163,23.35,0,23.35,5.72,0,5.72,29.07,0,29.07,17.25,-,-,0,-,-,203,-,-,0.81,-,-,0.07,-,-,0.88,7.802,17.25,-,120,-,18.13,-,-,-,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.08,0,3.08,0,0,0,3.08,0,3.08,-,-,-,-,-,0,7,6.54,8.33,14.87,-,604.34,32.79,637.13,482.31,-,14.05,127.08,316.04,457.17,8
6,California,33,Lake County,1985,47.66,21.22,24.17,45.39,2.83,-,-,2.71,-,-,5.54,-,-,3.38,1.27,0.08,0,4.73,-,-,-,-,0.14,-,-,0.03,-,-,0.17,2.27,3.38,-,74,-,3.55,0.92,-,-,75,-,0.05,-,-,0.01,-,-,0.06,-,-,1.27,-,0.35,-,-,-,0.04,0,0.04,0.01,0,0.01,0.05,0,0.05,0.08,0.13,0.09,0,0.09,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,33,Lake County,1990,50.63,20,25.85,45.85,2.91,-,-,2.64,-,-,5.55,-,-,3.27,0.83,0.04,0,4.14,-,-,-,76,0.21,-,-,0.15,-,-,0.36,4.78,3.27,-,71,-,3.63,0.94,-,-,75,-,0,-,-,0,-,-,0,-,-,0.83,-,0,-,-,-,0,0,0,0.01,0,0.01,0.01,0,0.01,0.04,0.05,0,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,33,Lake County,1995,55.1,19.89,22.43,42.32,2.87,0,2.87,2.96,0,2.96,5.83,0,5.83,3.73,1.01,0,0,4.74,1.09,138,0,25,0.86,0,0.86,0.1,0,0.1,0.96,12.78,3.73,0,88,0.96,4.69,1.25,0,1.25,75,-,0,0,0,0,0,0,0,0,0,1.01,1.01,0.26,0,0.26,1.64,0.04,0,0.04,0,0,0,0.04,0,0.04,0,0.04,0.01,0,0.01,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,33,Lake County,2000,58.31,20.6,24.06,44.66,3.07,-,-,3.78,-,-,6.85,-,-,-,-,-,-,-,-,-,-,-,0.92,-,-,0.1,-,-,1.02,13.65,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0,0.2,0,0,0,0.2,0,0.2,-,-,-,-,-,-,-,0.07,0.08,0.15,-,35.6,7.7,43.3,-,-,4.7,1.7,7.1,13.5,-
6,California,33,Lake County,2005,65.147,0,31.454,31.454,0,0,0,6.06,0,6.06,6.06,0,6.06,6.81,-,-,-,-,-,193,-,-,1.04,-,-,0,-,-,1.04,33.693,6.81,-,217,-,7.85,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0,0.2,0.09,0,0.09,0.29,0,0.29,-,-,-,-,-,-,-,0.07,0.08,0.15,-,-,-,-,-,-,-,-,-,-,-
6,California,33,Lake County,2010,64.665,25.35,13.37,38.72,3.66,0,3.66,4.41,0,4.41,8.07,0,8.07,6.4,-,-,-,-,-,208,-,-,1.64,-,-,0.31,-,-,1.95,25.945,6.4,-,165,-,8.35,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88,0,0.88,0.08,0,0.08,0.96,0,0.96,-,-,-,-,-,0,-,0.03,0.04,0.07,-,22.38,10.27,32.65,-,-,5.39,9.83,1.54,16.76,-
6,California,33,Lake County,2015,64.591,-,-,36.995,1.48,0,1.48,1.45,0,1.45,2.93,0,2.93,2.11,-,-,0,-,-,79,-,-,1.32,-,-,0.25,-,-,1.57,27.596,2.11,-,57,-,3.68,-,-,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88,0,0.88,0.08,0,0.08,0.96,0,0.96,-,-,-,-,-,0,5,0.03,0.04,0.07,-,37,15.51,52.51,41.65,-,16.73,10.31,1.44,28.48,0.63
6,California,35,Lassen County,1985,24.38,14.22,0.21,14.43,4.2,-,-,0.06,-,-,4.26,-,-,2.6,0.98,0,0,3.58,-,-,-,-,0.7,-,-,0.03,-,-,0.73,9.95,2.6,-,180,-,3.33,0.87,-,-,73,-,0.26,-,-,0.01,-,-,0.27,-,-,0.98,-,0.42,-,-,-,1.25,0,1.25,0,0,0,1.25,0,1.25,0,1.25,0.29,0,0.29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,35,Lassen County,1990,27.6,11.7,0,11.7,3.75,-,-,1.31,-,-,5.06,-,-,2.25,1.8,0.23,0,4.28,-,-,-,13,0.75,-,-,0.44,-,-,1.19,15.9,2.25,-,192,-,3.44,0.89,-,-,75,-,0,-,-,0,-,-,0,-,-,1.8,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,35,Lassen County,1995,28.65,16.78,0,16.78,5.45,0,5.45,0,0,0,5.45,0,5.45,1.94,2.36,0.13,0,4.43,1.02,325,0,8,0.8,0,0.8,0.09,0,0.09,0.89,11.87,1.94,0,116,0.89,2.83,0.74,0,0.74,75,-,0,0,0,0,0,0,0,0,0,2.36,2.36,0.61,0,0.61,0,0.17,0,0.17,0.01,0,0.01,0.18,0,0.18,0.13,0.31,0.09,0,0.09,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,35,Lassen County,2000,33.83,10.64,6.47,17.11,3.35,-,-,2.37,-,-,5.72,-,-,-,-,-,-,-,-,-,-,-,1.13,-,-,0.13,-,-,1.26,16.72,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0,0.01,0,0,0,0.01,0,0.01,-,-,-,-,-,-,-,0.4,0.51,0.91,-,188.1,289,477.1,-,-,35.4,0,138.3,173.7,-
